extId,setSize,half,wmc
LA2498,6,2,0.833333333
LA2597,3,1,0.916666667
LA2597,3,2,1
LA2597,6,1,1
LA2597,6,2,0.916666667
LA2639,3,1,1
LA2639,3,2,1
LA2639,6,1,0.708333333
LA2639,6,2,0.916666667
LI0528,3,1,1
LI0528,3,2,1
LI0528,6,1,0.666666667
LI0528,6,2,0.75
LY0671,3,1,1
LY0671,3,2,1
LY0671,6,1,0.833333333
LY0671,6,2,0.458333333
LY2007,3,1,1
LY2007,3,2,1
LY2007,6,1,1
LY2007,6,2,0.916666667
LY2811,3,1,1
LY2811,3,2,0.916666667
LY2811,6,1,0.708333333
LY2811,6,2,0.625
MA0417,3,1,0.916666667
MA0417,3,2,0.916666667
MA0417,6,1,0.958333333
MA0417,6,2,1
MA0692,3,1,1
MA0692,3,2,1
MA0692,6,1,1
MA0692,6,2,0.583333333
MA1034,3,1,0.666666667
MA1034,3,2,1
MA1034,6,1,0.791666667
MA1034,6,2,0.958333333
MA2107,3,1,0.583333333
MA2107,3,2,0.833333333
MA2107,6,1,0.75
MA2107,6,2,0.833333333
MA2300,3,1,1
MA2300,3,2,1
MA2300,6,1,1
MA2300,6,2,0.916666667
ME2455,3,1,1
ME2455,3,2,0.666666667
ME2455,6,1,1
ME2455,6,2,0.708333333
MI1958,3,1,0.666666667
MI1958,3,2,0.916666667
MI1958,6,1,0.291666667
MI1958,6,2,0.583333333
MY3136,3,1,1
MY3136,3,2,1
MY3136,6,1,0.833333333
MY3136,6,2,0.708333333
NA0345,3,1,1
NA0345,3,2,1
NA0345,6,1,1
NA0345,6,2,1
NA0742,3,1,0.916666667
NA0742,3,2,0.833333333
NA0742,6,1,0.875
NA0742,6,2,0.958333333
NA0890,3,1,1
NA0890,3,2,1
NA0890,6,1,0.75
NA0890,6,2,1
NA1268,3,1,0.833333333
NA1268,3,2,0.833333333
NA1268,6,1,0.458333333
NA1268,6,2,0.291666667
NA1579,3,1,0.416666667
NA1579,3,2,0.333333333
