"extId","BAT.ability","BAT.ability_sem","BAT.num_items"
"YN2494",0.265346358,0.614111692,25
"CA2618",0.498010412,0.617229841,25
"ES0908",0.810316045,0.576395441,25
"AN2632",-0.079385703,0.611936346,25
"IN2705",0.945703842,0.577918151,25
"IA2245",-1.414619664,0.70135034,25
"TA2553",-2.547636102,1.26285428,25
"LL0234",0.458504083,0.588993997,25
"IR1090",-0.021710247,0.61289435,25
"DI1828",0.701665379,0.585490564,25
"LA2498",-0.347280362,0.61637427,25
"NU3009",-1.560666416,0.820330388,25
"ER1830",-0.881119218,1.014395546,25
"IE0313",1.467190538,0.595343086,25
"KA1880",-0.074941199,0.660016507,25
"JA2010",-0.07157608,0.613277053,25
"NA0890",0.458487659,0.575152713,25
"DA2623",-0.866485663,0.647826489,25
"AN0520",0.278321655,0.586188782,25
"IE1066",0.141781469,0.587394999,25
"NA2786",0.574311411,0.573855909,25
"AR1915",-0.880935888,0.732400982,25
"TH0335",0.28069613,0.612269684,25
"AM2918",0.172928111,0.586743433,25
"SH2796",-0.194069641,0.611973015,25
"EA2411",0.271224772,0.585512755,25
"HA2167",0.258691063,0.587391525,25
"IE1002",0.882713897,0.5789017,25
"NE0118",0.860915735,0.591163826,25
"NA0345",0.199340481,0.624541254,25
"OR2427",0.300274191,0.583735195,25
"LI0528",-4,2.185570379,25
"HA0458",-0.979055654,0.644177916,25
"EW1371",-3.469074995,2.527830369,25
"IL0314",0.023484083,0.588423053,25
"NI2038",-0.90803491,0.736694449,25
"NA1874",0.473703468,0.589182314,25
"IE1555",-0.254781023,0.58942776,25
"LA0766",-0.282197446,0.679916101,25
"IA2689",-0.706165215,0.667052929,25
"IE0817",0.949309156,0.585459606,25
"NG1142",-0.824194514,0.651424883,25
"DU1145",-0.99979487,0.649925138,25
"HA0538",0.600645146,0.584626234,25
"IM0389",-0.141932926,0.618228024,25
"MY3136",0.260608564,0.613513533,25
"CK0735",-0.127562053,0.664175331,25
"RA1724",0.10253074,0.585499512,25
"NI2709",-0.880664954,0.649223309,25
"TH1090",0.600290682,0.584606702,25
"IU1413",-0.991631182,0.746078458,25
"CA3097",0.138608769,0.611491218,25
"RA3059",-1.048064588,0.726378413,25
"CP0636",0.623801457,0.590614907,25
"EL0448",-2.347692603,2.197360337,25
"MA0417",0.095413334,0.589741311,25
"AN0527",0.47213668,0.585392579,25
"SA2280",0.119198147,0.587690073,25
"AN1953",0.960429451,0.583896149,25
"EL0989",1.110618708,0.583868954,25
"LA2597",-0.014010638,0.585875809,25
"EA0378",-0.16541081,0.586786631,25
"AN1300",-0.368565272,0.608758526,25
"HA2096",0.366886011,0.584255054,25
"YN1017",0.413289959,0.580822645,25
"NI1880",-0.629618448,0.621284921,25
"RA1335",0.771474407,0.596315481,25
"NA1579",-0.402181438,0.65825836,25
"AN0596",0.139239248,0.668293465,25
"RI0573",-0.954713802,0.726686667,25
