"extId","generalSophistication","WMC3","WMC6","MDT.ability","MDT.ability_sem","BAT.ability","BAT.ability_sem","Age","BioSex","Education","Education_Year","Ethnicity","Musicianship","processing","LAQ_music"
"EK0357",78,0.9166666665,0.7708333335,-1.191116479,0.840662491,-2.451511945,1.211535641,24,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",19,"Asian / Asian British",2,0.986111111111111,4
"EL0448",43,0.9583333335,0.9583333335,-2.057756955,0.719169092,-2.347692603,2.197360337,18,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",10,"White",2,0.972222222222222,1
"EL0556",94,1,0.8125,1.041276655,0.496194429,-0.432869579,0.657359506,19,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",16,"White",1,1,1
"EL0562",72,1,0.75,-0.74147061,0.579859344,0.327784599,0.59538532,18,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"Asian / Asian British",2,0.986111111111111,4
"EL0968",70,1,0.6666666665,-0.015044581,0.487381826,1.246909843,0.585056478,33,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",20,"White",2,0.944444444444444,1
"EL0989",84,0.916666667,0.9166666665,1.054405169,0.508196677,1.110618708,0.583868954,19,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",1,0.930555555555556,1
"EL1073",103,1,0.9375,-0.071584183,0.491521751,0.077373745,0.615821893,30,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",14,"Asian / Asian British",2,0.986111111111111,2
"EL2128",74,1,1,0.370793996,0.481756821,-0.252048153,0.660490655,18,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"White",2,0.986111111111111,1
"EM0118",40,1,0.9375,-0.625165215,0.591687614,-3.971605888,3.075194645,27,"Female","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",21,"White",2,0.972222222222222,1
"EM1190",54,1,0.8125,-0.704484731,0.47589886,-0.98875444,0.722940043,26,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",24,"White",2,1,1
"EN2058",85,0.333333333,0.2708333335,0.31417782,0.480839755,0.301418697,0.613456889,18,"Male","Prefer not to answer",11,"Asian / Asian British",2,0.986111111111111,6
"EO0891",72,1,0.9166666665,0.68165525,0.4793423,-0.817842177,0.649786142,18,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"White",2,0.972222222222222,6
"ER0194",46,0.9583333335,0.8125,-0.072205092,0.483489889,0.817288768,0.586959494,28,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",15,"Other",2,0.958333333333333,1
